onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
0.048828125	125.89697265625	artefact	n/a	all	all	125.94580078125	100	257937	n/a	n/a	n/a	n/a	n/a	n/a
155.52734375	0.42626953125	artefact	n/a	all	all	155.95361328125	318520	319393	n/a	n/a	n/a	n/a	n/a	n/a
171.0849609375	15.19677734375	artefact	n/a	all	all	186.28173828125	350382	381505	n/a	n/a	n/a	n/a	n/a	n/a
201.28173828125	0.56591796875	artefact	n/a	all	all	201.84765625	412225	413384	n/a	n/a	n/a	n/a	n/a	n/a
216.6884765625	3.81298828125	artefact	n/a	all	all	220.50146484375	443778	451587	n/a	n/a	n/a	n/a	n/a	n/a
247.24609375	0.29833984375	artefact	n/a	all	all	247.54443359375	506360	506971	n/a	n/a	n/a	n/a	n/a	n/a
262.60400390625	0.546875	artefact	n/a	all	all	263.15087890625	537813	538933	n/a	n/a	n/a	n/a	n/a	n/a
292.05322265625	0.52001953125	artefact	n/a	all	all	292.5732421875	598125	599190	n/a	n/a	n/a	n/a	n/a	n/a
307.798828125	0.431640625	artefact	n/a	all	all	308.23046875	630372	631256	n/a	n/a	n/a	n/a	n/a	n/a
336.92822265625	0.42724609375	artefact	n/a	all	all	337.35546875	690029	690904	n/a	n/a	n/a	n/a	n/a	n/a
352.13671875	0.328125	artefact	n/a	all	all	352.46484375	721176	721848	n/a	n/a	n/a	n/a	n/a	n/a
419.20947265625	70.8994140625	artefact	n/a	all	all	490.10888671875	858541	1003743	n/a	n/a	n/a	n/a	n/a	n/a
492.388671875	0.25390625	artefact	n/a	all	all	492.642578125	1008412	1008932	n/a	n/a	n/a	n/a	n/a	n/a
497.72314453125	0.2919921875	artefact	n/a	all	all	498.01513671875	1019337	1019935	n/a	n/a	n/a	n/a	n/a	n/a
499.89501953125	5.70947265625	artefact	n/a	all	all	505.6044921875	1023785	1035478	n/a	n/a	n/a	n/a	n/a	n/a
617.04345703125	0.81201171875	artefact	n/a	all	all	617.85546875	1263705	1265368	n/a	n/a	n/a	n/a	n/a	n/a
783.32275390625	1.24658203125	artefact	n/a	all	all	784.5693359375	1604245	1606798	n/a	n/a	n/a	n/a	n/a	n/a
791.173828125	1.84423828125	artefact	n/a	all	all	793.01806640625	1620324	1624101	n/a	n/a	n/a	n/a	n/a	n/a
824.2998046875	2.2880859375	artefact	n/a	all	all	826.587890625	1688166	1692852	n/a	n/a	n/a	n/a	n/a	n/a
847.8603515625	0.74560546875	artefact	n/a	all	all	848.60595703125	1736418	1737945	n/a	n/a	n/a	n/a	n/a	n/a
916.85498046875	0.369140625	artefact	n/a	all	all	917.22412109375	1877719	1878475	n/a	n/a	n/a	n/a	n/a	n/a
951.603515625	0.787109375	artefact	n/a	all	all	952.390625	1948884	1950496	n/a	n/a	n/a	n/a	n/a	n/a
1012.93701171875	0.31396484375	artefact	n/a	all	all	1013.2509765625	2074495	2075138	n/a	n/a	n/a	n/a	n/a	n/a
1016.14501953125	0.8427734375	artefact	n/a	all	all	1016.98779296875	2081065	2082791	n/a	n/a	n/a	n/a	n/a	n/a
1018.89697265625	0.8828125	artefact	n/a	all	all	1019.77978515625	2086701	2088509	n/a	n/a	n/a	n/a	n/a	n/a
1050.4091796875	2.337890625	artefact	n/a	all	all	1052.7470703125	2151238	2156026	n/a	n/a	n/a	n/a	n/a	n/a
1086.07861328125	4.48583984375	artefact	n/a	all	all	1090.564453125	2224289	2233476	n/a	n/a	n/a	n/a	n/a	n/a
1096.17431640625	1.0576171875	artefact	n/a	all	all	1097.23193359375	2244965	2247131	n/a	n/a	n/a	n/a	n/a	n/a
1103.783203125	0.2890625	artefact	n/a	all	all	1104.072265625	2260548	2261140	n/a	n/a	n/a	n/a	n/a	n/a
1115.57861328125	56.63623046875	artefact	n/a	all	all	1172.21484375	2284705	2400696	n/a	n/a	n/a	n/a	n/a	n/a
1270.84814453125	0.84375	artefact	n/a	all	all	1271.69189453125	2602697	2604425	n/a	n/a	n/a	n/a	n/a	n/a
1289.5712890625	1.56640625	artefact	n/a	all	all	1291.1376953125	2641042	2644250	n/a	n/a	n/a	n/a	n/a	n/a
1295.8115234375	0.78271484375	artefact	n/a	all	all	1296.59423828125	2653822	2655425	n/a	n/a	n/a	n/a	n/a	n/a
1313.94677734375	3.52197265625	artefact	n/a	all	all	1317.46875	2690963	2698176	n/a	n/a	n/a	n/a	n/a	n/a
1400.0166015625	27.21044921875	artefact	n/a	all	all	1427.22705078125	2867234	2922961	n/a	n/a	n/a	n/a	n/a	n/a
1433.69873046875	14.20361328125	artefact	n/a	all	all	1447.90234375	2936215	2965304	n/a	n/a	n/a	n/a	n/a	n/a
1467.8583984375	5.0771484375	artefact	n/a	all	all	1472.935546875	3006174	3016572	n/a	n/a	n/a	n/a	n/a	n/a
1523.52490234375	18.0712890625	artefact	n/a	all	all	1541.59619140625	3120179	3157189	n/a	n/a	n/a	n/a	n/a	n/a
1554.92431640625	13.9501953125	artefact	n/a	all	all	1568.87451171875	3184485	3213055	n/a	n/a	n/a	n/a	n/a	n/a
1580.2421875	4.19775390625	artefact	n/a	all	all	1584.43994140625	3236336	3244933	n/a	n/a	n/a	n/a	n/a	n/a
1590.640625	1.11865234375	artefact	n/a	all	all	1591.75927734375	3257632	3259923	n/a	n/a	n/a	n/a	n/a	n/a
1612.90625	6.2490234375	artefact	n/a	all	all	1619.1552734375	3303232	3316030	n/a	n/a	n/a	n/a	n/a	n/a
1627.88037109375	1.107421875	artefact	n/a	all	all	1628.98779296875	3333899	3336167	n/a	n/a	n/a	n/a	n/a	n/a
1638.3134765625	31.578125	artefact	n/a	all	all	1669.8916015625	3355266	3419938	n/a	n/a	n/a	n/a	n/a	n/a
1685.35009765625	4.03125	artefact	n/a	all	all	1689.38134765625	3451597	3459853	n/a	n/a	n/a	n/a	n/a	n/a
1701.80908203125	3.71923828125	artefact	n/a	all	all	1705.5283203125	3485305	3492922	n/a	n/a	n/a	n/a	n/a	n/a
1742.82470703125	40.9326171875	artefact	n/a	all	all	1783.75732421875	3569305	3653135	n/a	n/a	n/a	n/a	n/a	n/a
1848.69384765625	0.75537109375	artefact	n/a	all	all	1849.44921875	3786125	3787672	n/a	n/a	n/a	n/a	n/a	n/a
1863.453125	30.4765625	artefact	n/a	all	all	1893.9296875	3816352	3878768	n/a	n/a	n/a	n/a	n/a	n/a
1900.888671875	3.04296875	artefact	n/a	all	all	1903.931640625	3893020	3899252	n/a	n/a	n/a	n/a	n/a	n/a
1934.5849609375	1.93505859375	artefact	n/a	all	all	1936.52001953125	3962030	3965993	n/a	n/a	n/a	n/a	n/a	n/a
1945.10791015625	2.04052734375	artefact	n/a	all	all	1947.1484375	3983581	3987760	n/a	n/a	n/a	n/a	n/a	n/a
1953.6083984375	7.09375	artefact	n/a	all	all	1960.7021484375	4000990	4015518	n/a	n/a	n/a	n/a	n/a	n/a
493.837890625	1507.1259765625	stimulation	SPESprop	all	all	2000.9638671875	1011380	4097974	n/a	n/a	n/a	n/a	n/a	n/a
497.2451171875	0.001	electrical_stimulation	SPESprop	n/a	n/a	497.2461171875	1018358	1018360.048	monophasic	IH01-IH02	0.004	0.2	0.001	n/a
508.744140625	0.001	electrical_stimulation	SPESprop	n/a	n/a	508.745140625	1041908	1041910.048	monophasic	IH02-IH01	0.004	0.2	0.001	n/a
521.55517578125	0.001	electrical_stimulation	SPESprop	n/a	n/a	521.55617578125	1068145	1068147.048	monophasic	IH02-IH03	0.004	0.2	0.001	n/a
547.96240234375	0.001	electrical_stimulation	SPESprop	n/a	n/a	547.96340234375	1122227	1122229.048	monophasic	IH03-IH02	0.004	0.2	0.001	n/a
571.54931640625	0.001	electrical_stimulation	SPESprop	n/a	n/a	571.55031640625	1170533	1170535.048	monophasic	IH03-IH02	0.004	0.2	0.001	n/a
618.2626953125	0.001	electrical_stimulation	SPESprop	n/a	n/a	618.2636953125	1266202	1266204.048	monophasic	IH03-IH04	0.008	0.2	0.001	n/a
635.9794921875	0.001	electrical_stimulation	SPESprop	n/a	n/a	635.9804921875	1302486	1302488.048	monophasic	IH03-IH04	0.008	0.2	0.001	n/a
646.97802734375	0.001	electrical_stimulation	SPESprop	n/a	n/a	646.97902734375	1325011	1325013.048	monophasic	IH04-IH03	0.008	0.2	0.001	n/a
656.57080078125	0.001	electrical_stimulation	SPESprop	n/a	n/a	656.57180078125	1344657	1344659.048	monophasic	IH04-IH05	0.008	0.2	0.001	n/a
666.28857421875	0.001	electrical_stimulation	SPESprop	n/a	n/a	666.28957421875	1364559	1364561.048	monophasic	IH05-IH04	0.008	0.2	0.001	n/a
676.255859375	0.001	electrical_stimulation	SPESprop	n/a	n/a	676.256859375	1384972	1384974.048	monophasic	IH05-IH06	0.008	0.2	0.001	n/a
686.3798828125	0.001	electrical_stimulation	SPESprop	n/a	n/a	686.3808828125	1405706	1405708.048	monophasic	IH06-IH05	0.008	0.2	0.001	n/a
697.97216796875	0.001	electrical_stimulation	SPESprop	n/a	n/a	697.97316796875	1429447	1429449.048	monophasic	IH06-IH07	0.008	0.2	0.001	n/a
710.15869140625	0.001	electrical_stimulation	SPESprop	n/a	n/a	710.15969140625	1454405	1454407.048	monophasic	IH07-IH06	0.008	0.2	0.001	n/a
721.1884765625	0.001	electrical_stimulation	SPESprop	n/a	n/a	721.1894765625	1476994	1476996.048	monophasic	IH07-IH08	0.008	0.2	0.001	n/a
732.81201171875	0.001	electrical_stimulation	SPESprop	n/a	n/a	732.81301171875	1500799	1500801.048	monophasic	IH08-IH07	0.008	0.2	0.001	n/a
745.560546875	0.001	electrical_stimulation	SPESprop	n/a	n/a	745.561546875	1526908	1526910.048	monophasic	IH09-IH10	0.004	0.2	0.001	n/a
756.2783203125	0.001	electrical_stimulation	SPESprop	n/a	n/a	756.2793203125	1548858	1548860.048	monophasic	IH10-IH09	0.004	0.2	0.001	n/a
767.55810546875	0.001	electrical_stimulation	SPESprop	n/a	n/a	767.55910546875	1571959	1571961.048	monophasic	IH10-IH11	0.004	0.2	0.001	n/a
776.30712890625	0.001	electrical_stimulation	SPESprop	n/a	n/a	776.30812890625	1589877	1589879.048	monophasic	IH11-IH10	0.004	0.2	0.001	n/a
785.92529296875	0.001	electrical_stimulation	SPESprop	n/a	n/a	785.92629296875	1609575	1609577.048	monophasic	IH11-IH12	0.008	0.2	0.001	n/a
795.96142578125	0.001	electrical_stimulation	SPESprop	n/a	n/a	795.96242578125	1630129	1630131.048	monophasic	IH12-IH11	0.008	0.2	0.001	n/a
805.9345703125	0.001	electrical_stimulation	SPESprop	n/a	n/a	805.9355703125	1650554	1650556.048	monophasic	IH12-IH13	0.008	0.2	0.001	n/a
816.271484375	0.001	electrical_stimulation	SPESprop	n/a	n/a	816.272484375	1671724	1671726.048	monophasic	IH13-IH12	0.008	0.2	0.001	n/a
825.55126953125	0.001	electrical_stimulation	SPESprop	n/a	n/a	825.55226953125	1690729	1690731.048	monophasic	IH13-IH14	0.008	0.2	0.001	n/a
