onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
4.00634765625	0.20361328125	artefact	n/a	all	all	4.2099609375	8205	8622	n/a	n/a	n/a	n/a	n/a	n/a
10.97705078125	0.244140625	artefact	n/a	all	all	11.22119140625	22481	22981	n/a	n/a	n/a	n/a	n/a	n/a
34.478515625	0.17919921875	artefact	n/a	all	all	34.65771484375	70612	70979	n/a	n/a	n/a	n/a	n/a	n/a
42.5810546875	0.28515625	artefact	n/a	all	all	42.8662109375	87206	87790	n/a	n/a	n/a	n/a	n/a	n/a
63.24072265625	0.20361328125	artefact	n/a	all	all	63.4443359375	129517	129934	n/a	n/a	n/a	n/a	n/a	n/a
79.7470703125	0.17919921875	artefact	n/a	all	all	79.92626953125	163322	163689	n/a	n/a	n/a	n/a	n/a	n/a
85.5537109375	0.244140625	artefact	n/a	all	all	85.7978515625	175214	175714	n/a	n/a	n/a	n/a	n/a	n/a
104.12841796875	0.4072265625	artefact	n/a	all	all	104.53564453125	213255	214089	n/a	n/a	n/a	n/a	n/a	n/a
130.3173828125	1.53076171875	artefact	n/a	all	all	131.84814453125	266890	270025	n/a	n/a	n/a	n/a	n/a	n/a
133.79345703125	698.03173828125	artefact	n/a	C09	C09	831.8251953125	274009	1703578	n/a	n/a	n/a	n/a	n/a	n/a
164.72607421875	5.87158203125	artefact	n/a	all	all	170.59765625	337359	349384	n/a	n/a	n/a	n/a	n/a	n/a
192.0830078125	3.73779296875	artefact	n/a	all	all	195.82080078125	393386	401041	n/a	n/a	n/a	n/a	n/a	n/a
217.7001953125	614.91259765625	artefact	n/a	C10	C10	832.61279296875	445850	1705191	n/a	n/a	n/a	n/a	n/a	n/a
218.6708984375	4.880859375	artefact	n/a	all	all	223.5517578125	447838	457834	n/a	n/a	n/a	n/a	n/a	n/a
263.89404296875	2.03564453125	artefact	n/a	all	all	265.9296875	540455	544624	n/a	n/a	n/a	n/a	n/a	n/a
272.6689453125	2.3046875	artefact	n/a	all	all	274.9736328125	558426	563146	n/a	n/a	n/a	n/a	n/a	n/a
279.7587890625	2.166015625	artefact	n/a	all	all	281.9248046875	572946	577382	n/a	n/a	n/a	n/a	n/a	n/a
288.10888671875	1.90576171875	artefact	n/a	all	all	290.0146484375	590047	593950	n/a	n/a	n/a	n/a	n/a	n/a
355.28466796875	0.51318359375	artefact	n/a	all	all	355.7978515625	727623	728674	n/a	n/a	n/a	n/a	n/a	n/a
517.59814453125	314.22705078125	artefact	n/a	all	all	831.8251953125	1060041	1703578	n/a	n/a	n/a	n/a	n/a	n/a
872.6171875	183.96142578125	artefact	n/a	all	all	1056.57861328125	1787120	2163873	n/a	n/a	n/a	n/a	n/a	n/a
910.42626953125	0.27685546875	artefact	n/a	all	all	910.703125	1864553	1865120	n/a	n/a	n/a	n/a	n/a	n/a
918.5341796875	0.1787109375	artefact	n/a	all	all	918.712890625	1881158	1881524	n/a	n/a	n/a	n/a	n/a	n/a
946.35498046875	0.20361328125	artefact	n/a	all	all	946.55859375	1938135	1938552	n/a	n/a	n/a	n/a	n/a	n/a
954.4296875	0.15478515625	artefact	n/a	all	all	954.58447265625	1954672	1954989	n/a	n/a	n/a	n/a	n/a	n/a
982.1689453125	0.17919921875	artefact	n/a	all	all	982.34814453125	2011482	2011849	n/a	n/a	n/a	n/a	n/a	n/a
